gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2862420346	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94341933/original.jpeg?1599675601	https://www.inaturalist.org/photos/94341933					2020-09-07T21:19:57Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2862418460	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94487642/original.jpg?1599761918	https://www.inaturalist.org/photos/94487642					2020-09-10T18:17:10Z	iangardner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	iangardner
2862406440	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94456158/original.jpg?1599748147	https://www.inaturalist.org/photos/94456158					2020-09-09T12:36:59Z	ostracod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ostracod
2862405382	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94378365/original.jpeg?1599689834	https://www.inaturalist.org/photos/94378365					2020-09-07T22:15:01Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2862398383	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94389576/original.jpeg?1599695569	https://www.inaturalist.org/photos/94389576					2020-09-07T22:43:23Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2862393377	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94319484/original.jpg?1599666079	https://www.inaturalist.org/photos/94319484					2020-09-09T15:40:23Z	cmsnaturalists		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmsnaturalists
2862390366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94362751/original.jpg?1599683345	https://www.inaturalist.org/photos/94362751					2020-09-09T20:18:11Z	shelliefizer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shelliefizer
2862390366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94362764/original.jpg?1599683351	https://www.inaturalist.org/photos/94362764					2020-09-09T20:18:11Z	shelliefizer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shelliefizer
2862390366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94362796/original.jpg?1599683361	https://www.inaturalist.org/photos/94362796					2020-09-09T20:18:11Z	shelliefizer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shelliefizer
2862390366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94362779/original.jpg?1599683356	https://www.inaturalist.org/photos/94362779					2020-09-09T20:18:11Z	shelliefizer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shelliefizer
2862382267	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94233261/original.jpeg?1599607339	https://www.inaturalist.org/photos/94233261					2020-09-09T00:44:32Z	Emily Zucker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emily Zucker
2862381731	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93591751/original.jpg?1599323123	https://www.inaturalist.org/photos/93591751					2020-09-05T14:25:44Z	Calista McRae		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Calista McRae
2862380215	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94181435/original.jpg?1599587272	https://www.inaturalist.org/photos/94181435					2020-09-08T17:47:16Z	nicoleciani		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nicoleciani
2862374726	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93559563/original.jpg?1599310454	https://www.inaturalist.org/photos/93559563					2020-08-10T14:13:12Z	tkr421		iNaturalist	http://creativecommons.org/licenses/by/4.0/	tkr421
2862374218	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94186141/original.jpg?1599588986	https://www.inaturalist.org/photos/94186141					2020-09-08T15:43:49Z	ostracod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ostracod
2862373961	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93875201/original.jpg?1599436546	https://www.inaturalist.org/photos/93875201					2020-09-04T17:00:43Z	scarlet_shifflett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	scarlet_shifflett
2862373961	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93875175/original.jpg?1599436539	https://www.inaturalist.org/photos/93875175					2020-09-04T17:00:43Z	scarlet_shifflett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	scarlet_shifflett
2862373117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94025610/original.jpg?1599509024	https://www.inaturalist.org/photos/94025610					2020-09-07T13:22:35Z	hanna_cortes		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanna_cortes
2862373117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94025624/original.jpg?1599509029	https://www.inaturalist.org/photos/94025624					2020-09-07T13:22:35Z	hanna_cortes		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanna_cortes
2862372163	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94168038/original.jpeg?1599582174	https://www.inaturalist.org/photos/94168038					2020-09-08T15:38:22Z	sarroyo24		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarroyo24
2862370742	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93637895/original.jpg?1599336907	https://www.inaturalist.org/photos/93637895					2020-09-05T20:14:08Z	Robin C. McLean		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robin C. McLean
2862370742	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93637874/original.jpg?1599336900	https://www.inaturalist.org/photos/93637874					2020-09-05T20:14:08Z	Robin C. McLean		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robin C. McLean
2862368125	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94032450/original.jpg?1599510858	https://www.inaturalist.org/photos/94032450					2020-09-07T18:52:08Z	ostracod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ostracod
2862366753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93591620/original.jpg?1599323085	https://www.inaturalist.org/photos/93591620					2020-09-05T15:23:10Z	Calista McRae		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Calista McRae
2862364244	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94223870/original.jpg?1599603150	https://www.inaturalist.org/photos/94223870					2020-09-03T16:40:05Z	jadensweely		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jadensweely
2862364129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94086346/original.jpg?1599529369	https://www.inaturalist.org/photos/94086346					2020-09-07T16:30:25Z	gwt2102		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gwt2102
2862363136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94067294/original.jpeg?1599521817	https://www.inaturalist.org/photos/94067294					2020-09-04T00:13:44Z	madelinelolli		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	madelinelolli
2862361902	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93809185/original.jpg?1599416738	https://www.inaturalist.org/photos/93809185					2020-09-06T16:27:22Z	kdstutzman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kdstutzman
2862361283	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94235449/original.jpg?1599608519	https://www.inaturalist.org/photos/94235449					2020-09-08T18:02:51Z	ostracod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ostracod
